Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning
17,1,"The company ABC Ltd. proposes to take over XYZ Ltd. The chief executive of the company thinks that shareholders always look for the earnings per share. Therefore, he considers maximization of the earnings per share as his companyâ€™s objective. The following information is available in respect of ABC Ltd. and XYZ Ltd. ABC Ltd. XYZ Ltd. Net Profit (Post Tax) ` 400 Lakh ` 315 Lakh P/E ratio 10.50 10.00 Current market price per share ` 840 ` 1700 The company is planning to borrow funds @ 15% rate of interest and buys out the target company by paying cash. Assume tax rate @30%. From the information given above, choose the correct answer to the following questions:",1. The total market value of equity of XYZ Ltd. is approximately..,â‚¹ 3150 lakh,â‚¹ 3400 lakh,â‚¹ 4200 lakh,â‚¹ 16800 lakh,a,` 315 Lakh x 10.00 = ` 3150 Lakh
17,2,"The company ABC Ltd. proposes to take over XYZ Ltd. The chief executive of the company thinks that shareholders always look for the earnings per share. Therefore, he considers maximization of the earnings per share as his companyâ€™s objective. The following information is available in respect of ABC Ltd. and XYZ Ltd. ABC Ltd. XYZ Ltd. Net Profit (Post Tax) ` 400 Lakh ` 315 Lakh P/E ratio 10.50 10.00 Current market price per share ` 840 ` 1700 The company is planning to borrow funds @ 15% rate of interest and buys out the target company by paying cash. Assume tax rate @30%. From the information given above, choose the correct answer to the following questions:",2. Suppose if XYZ Ltd. is borrowing funds at a high interest rate to finance acquisition it will affect its EPS mainly due to,increase in operating profit.,increase in interest burden.,increase in market price of shares.,increase in tax liability.,b,This will increase the outflow of cash on account of higher interest as well as will increase in financial risk.
17,3,"The company ABC Ltd. proposes to take over XYZ Ltd. The chief executive of the company thinks that shareholders always look for the earnings per share. Therefore, he considers maximization of the earnings per share as his companyâ€™s objective. The following information is available in respect of ABC Ltd. and XYZ Ltd. ABC Ltd. XYZ Ltd. Net Profit (Post Tax) ` 400 Lakh ` 315 Lakh P/E ratio 10.50 10.00 Current market price per share ` 840 ` 1700 The company is planning to borrow funds @ 15% rate of interest and buys out the target company by paying cash. Assume tax rate @30%. From the information given above, choose the correct answer to the following questions:",3. Suppose if ABC Ltd. is offering about â‚¹ 4030 Lakh to XYZ Ltd. for the proposed acquisition it will result in.,EPS accretion,EPS dilution,No Change,Risk free EPS,b,Post acquisition the EPS will be reduced to ` 58.37 .
18,1,"A Ltd. is planning to borrow an amount of ` 300 crores for a period of 3 months in the coming 6 monthsâ€™ time from now. The current rate of interest is 9% p.a., but it is likely to go up in 6 monthsâ€™ time. The company wants to hedge itself against the likely increase in interest rate. You as CFO has been asked to suggest both traditional as well as modern methods to hedge interest rate risk. Suppose the banker of A Ltd. has quoted the following Forward Rate Agreement (FRA) rates: 3 x 6 8.10% 8.15% 6 x 9 8.20% 8.30% 9 x 12 8.35% 8.45% A Ltd. has already issued redeemable bonds or debentures. From the information given above, choose the correct answer to the following questions:","1. In an FRA contract, the company intending to borrow funds in future should.",buy FRA at bid rate.,sell FRA at bid rate.,buy FRA at offer rate.,sell FRA at offer rate.,c,A future borrower buys FRA at the offer rate to lock in borrowing cost.
18,2,"A Ltd. is planning to borrow an amount of ` 300 crores for a period of 3 months in the coming 6 monthsâ€™ time from now. The current rate of interest is 9% p.a., but it is likely to go up in 6 monthsâ€™ time. The company wants to hedge itself against the likely increase in interest rate. You as CFO has been asked to suggest both traditional as well as modern methods to hedge interest rate risk. Suppose the banker of A Ltd. has quoted the following Forward Rate Agreement (FRA) rates: 3 x 6 8.10% 8.15% 6 x 9 8.20% 8.30% 9 x 12 8.35% 8.45% A Ltd. has already issued redeemable bonds or debentures. From the information given above, choose the correct answer to the following questions:","2. If interest rates rise above the FRA rate, the A Ltd. under FRA will",incur loss and pay banker.,neither gain nor lose.,receive compensation from banker.,cancel the contract.,c,FRA compensates the borrower when market rates exceed the agreed rate.
18,3,"A Ltd. is planning to borrow an amount of ` 300 crores for a period of 3 months in the coming 6 monthsâ€™ time from now. The current rate of interest is 9% p.a., but it is likely to go up in 6 monthsâ€™ time. The company wants to hedge itself against the likely increase in interest rate. You as CFO has been asked to suggest both traditional as well as modern methods to hedge interest rate risk. Suppose the banker of A Ltd. has quoted the following Forward Rate Agreement (FRA) rates: 3 x 6 8.10% 8.15% 6 x 9 8.20% 8.30% 9 x 12 8.35% 8.45% A Ltd. has already issued redeemable bonds or debentures. From the information given above, choose the correct answer to the following questions:",3. The settlement under an FRA is made,at the end of the loan period.,at the beginning of the loan period.,at the maturity of FRA.,along with repayment of principal.,b,FRA is settled at the start of the underlying loan period.
18,4,"A Ltd. is planning to borrow an amount of ` 300 crores for a period of 3 months in the coming 6 monthsâ€™ time from now. The current rate of interest is 9% p.a., but it is likely to go up in 6 monthsâ€™ time. The company wants to hedge itself against the likely increase in interest rate. You as CFO has been asked to suggest both traditional as well as modern methods to hedge interest rate risk. Suppose the banker of A Ltd. has quoted the following Forward Rate Agreement (FRA) rates: 3 x 6 8.10% 8.15% 6 x 9 8.20% 8.30% 9 x 12 8.35% 8.45% A Ltd. has already issued redeemable bonds or debentures. From the information given above, choose the correct answer to the following questions:",4. The FRA settlement amount is discounted because,interest rates are uncertain,FRA is settled in advance,principals are not exchanged,only interest differential is paid,b,Settlement relates to a future interest period but is paid upfront.
18,5,"A Ltd. is planning to borrow an amount of ` 300 crores for a period of 3 months in the coming 6 monthsâ€™ time from now. The current rate of interest is 9% p.a., but it is likely to go up in 6 monthsâ€™ time. The company wants to hedge itself against the likely increase in interest rate. You as CFO has been asked to suggest both traditional as well as modern methods to hedge interest rate risk. Suppose the banker of A Ltd. has quoted the following Forward Rate Agreement (FRA) rates: 3 x 6 8.10% 8.15% 6 x 9 8.20% 8.30% 9 x 12 8.35% 8.45% A Ltd. has already issued redeemable bonds or debentures. From the information given above, choose the correct answer to the following questions:",5. Interest Rate Futures differ from FRAs mainly because Futures are,OTC instruments,tailor-made contracts,standardised and exchange traded,settled only at maturity,c,Except (c) other points features are related to FRA.
19,1,"ABC Inc., a U.S. firm, will require Â£ 600,000 in 6 months and is evaluating different strategies to hedge against currency risk. The available market data is as follows: Current Spot Rate: 1 Â£ = $ 2.50 6-months Forward Rate: 1 Â£ = $ 2.45 Interest Rates: â€¢ UK (per annuam): o Deposit Rate: 9.00% o Borrowing Rate: 10.00% â€¢ US (per annuam): o Deposit Rate: 10% o Borrowing Rate: 11.00% Option Contract: â€¢ Call option available on Â£, expiring in 6 months with: o Exercise price: $ 2.46 o Premium: $ 0.05 ABC Inc. has forecasted the following probabilities for spot rates after 6 months: Spot Rate Probability $ 2.39 25% $ 2.44 60% $ 2.56 15% From the information given above, choose the correct answer to the following questions:","1. Since ABC Inc. will require Â£ 600,000 in future, it is said to be..",Long in Â£,Short in Â£,Long in $,Neutral in currency,b,Future payment in pounds means exposure to appreciation of Â£.
19,2,"ABC Inc., a U.S. firm, will require Â£ 600,000 in 6 months and is evaluating different strategies to hedge against currency risk. The available market data is as follows: Current Spot Rate: 1 Â£ = $ 2.50 6-months Forward Rate: 1 Â£ = $ 2.45 Interest Rates: â€¢ UK (per annuam): o Deposit Rate: 9.00% o Borrowing Rate: 10.00% â€¢ US (per annuam): o Deposit Rate: 10% o Borrowing Rate: 11.00% Option Contract: â€¢ Call option available on Â£, expiring in 6 months with: o Exercise price: $ 2.46 o Premium: $ 0.05 ABC Inc. has forecasted the following probabilities for spot rates after 6 months: Spot Rate Probability $ 2.39 25% $ 2.44 60% $ 2.56 15% From the information given above, choose the correct answer to the following questions:","2. Under a forward contract, the dollar cost of Â£ 600,000 is",certain but flexible,uncertain but capped,certain and fixed,nil,c,Forward contract locks in the exchange rate.
19,3,"ABC Inc., a U.S. firm, will require Â£ 600,000 in 6 months and is evaluating different strategies to hedge against currency risk. The available market data is as follows: Current Spot Rate: 1 Â£ = $ 2.50 6-months Forward Rate: 1 Â£ = $ 2.45 Interest Rates: â€¢ UK (per annuam): o Deposit Rate: 9.00% o Borrowing Rate: 10.00% â€¢ US (per annuam): o Deposit Rate: 10% o Borrowing Rate: 11.00% Option Contract: â€¢ Call option available on Â£, expiring in 6 months with: o Exercise price: $ 2.46 o Premium: $ 0.05 ABC Inc. has forecasted the following probabilities for spot rates after 6 months: Spot Rate Probability $ 2.39 25% $ 2.44 60% $ 2.56 15% From the information given above, choose the correct answer to the following questions:",3. Which hedging technique allows ABC Inc. to benefit if the Pound depreciates while protecting against appreciation?,Forward contract,Money market hedge,Call option on Â£,Futures contract,c,Options provide downside protection with upside benefit.
19,4,"ABC Inc., a U.S. firm, will require Â£ 600,000 in 6 months and is evaluating different strategies to hedge against currency risk. The available market data is as follows: Current Spot Rate: 1 Â£ = $ 2.50 6-months Forward Rate: 1 Â£ = $ 2.45 Interest Rates: â€¢ UK (per annuam): o Deposit Rate: 9.00% o Borrowing Rate: 10.00% â€¢ US (per annuam): o Deposit Rate: 10% o Borrowing Rate: 11.00% Option Contract: â€¢ Call option available on Â£, expiring in 6 months with: o Exercise price: $ 2.46 o Premium: $ 0.05 ABC Inc. has forecasted the following probabilities for spot rates after 6 months: Spot Rate Probability $ 2.39 25% $ 2.44 60% $ 2.56 15% From the information given above, choose the correct answer to the following questions:","4. If the spot rate after 6 months happens to be $ 2.39/Â£, ABC Inc. under option hedge will..",exercise the option.,let the option lapse.,cancel the contract.,incur loss equal to intrinsic value.,b,Market rate is better than exercise price.
19,5,"ABC Inc., a U.S. firm, will require Â£ 600,000 in 6 months and is evaluating different strategies to hedge against currency risk. The available market data is as follows: Current Spot Rate: 1 Â£ = $ 2.50 6-months Forward Rate: 1 Â£ = $ 2.45 Interest Rates: â€¢ UK (per annuam): o Deposit Rate: 9.00% o Borrowing Rate: 10.00% â€¢ US (per annuam): o Deposit Rate: 10% o Borrowing Rate: 11.00% Option Contract: â€¢ Call option available on Â£, expiring in 6 months with: o Exercise price: $ 2.46 o Premium: $ 0.05 ABC Inc. has forecasted the following probabilities for spot rates after 6 months: Spot Rate Probability $ 2.39 25% $ 2.44 60% $ 2.56 15% From the information given above, choose the correct answer to the following questions:",5. Which of the following hedging methods involves borrowing and lending in two currencies simultaneously?,Forward hedge,Option hedge,Money market hedge,Futures hedge,c,In remaining methods only one transaction in two currencies is involved.
20,1,"An investor is evaluating two companies, X Ltd. and Y Ltd., to determine which company is a better investment. Both companies have different expected returns, standard deviations, and betas. â€¢ X Ltd. has an expected return of 22% and a standard deviation (risk) of 40%. Its Beta is 0.86. â€¢ Y Ltd. has an expected return of 24%, a standard deviation of 38%, and a Beta of 1.24. The correlation coefficient between the returns of X Ltd. and Y Ltd.is 0.72, and the standard deviation of the market return is 20%. From the information given above, choose the correct answer to the following questions:",1. Which company is expected to be more volatile in absolute terms?,X Ltd.,Y Ltd.,Both have equal volatility,Depends on correlation,a,Volatility is measured by standard deviation; X Ltd. has higher SD (40%).
20,2,"An investor is evaluating two companies, X Ltd. and Y Ltd., to determine which company is a better investment. Both companies have different expected returns, standard deviations, and betas. â€¢ X Ltd. has an expected return of 22% and a standard deviation (risk) of 40%. Its Beta is 0.86. â€¢ Y Ltd. has an expected return of 24%, a standard deviation of 38%, and a Beta of 1.24. The correlation coefficient between the returns of X Ltd. and Y Ltd.is 0.72, and the standard deviation of the market return is 20%. From the information given above, choose the correct answer to the following questions:",2. The correlation coefficient of 0.72 between X Ltd. and Y Ltd. implies that,the stocks move in opposite directions.,the stocks are perfectly correlated.,there is strong positive co-movement.,there is no diversification benefit.,c,A correlation of 0.72 indicates strong positive relationship.
20,3,"An investor is evaluating two companies, X Ltd. and Y Ltd., to determine which company is a better investment. Both companies have different expected returns, standard deviations, and betas. â€¢ X Ltd. has an expected return of 22% and a standard deviation (risk) of 40%. Its Beta is 0.86. â€¢ Y Ltd. has an expected return of 24%, a standard deviation of 38%, and a Beta of 1.24. The correlation coefficient between the returns of X Ltd. and Y Ltd.is 0.72, and the standard deviation of the market return is 20%. From the information given above, choose the correct answer to the following questions:","3. If the correlation between X Ltd. and Y Ltd. were zero, the portfolio risk would..",increase,decrease,remain unchanged,become zero,b,Lower correlation improves diversification benefits. 4.
20,4,"An investor is evaluating two companies, X Ltd. and Y Ltd., to determine which company is a better investment. Both companies have different expected returns, standard deviations, and betas. â€¢ X Ltd. has an expected return of 22% and a standard deviation (risk) of 40%. Its Beta is 0.86. â€¢ Y Ltd. has an expected return of 24%, a standard deviation of 38%, and a Beta of 1.24. The correlation coefficient between the returns of X Ltd. and Y Ltd.is 0.72, and the standard deviation of the market return is 20%. From the information given above, choose the correct answer to the following questions:",4. Which type of risk can be reduced by forming a portfolio of X Ltd. and Y Ltd.?,Political risk,Market risk,Unsystematic risk,Interest rate risk,c,Other types of risks are systematic risks which cannot be reduced or eliminated through diversification.
20,5,"An investor is evaluating two companies, X Ltd. and Y Ltd., to determine which company is a better investment. Both companies have different expected returns, standard deviations, and betas. â€¢ X Ltd. has an expected return of 22% and a standard deviation (risk) of 40%. Its Beta is 0.86. â€¢ Y Ltd. has an expected return of 24%, a standard deviation of 38%, and a Beta of 1.24. The correlation coefficient between the returns of X Ltd. and Y Ltd.is 0.72, and the standard deviation of the market return is 20%. From the information given above, choose the correct answer to the following questions:","5. If market volatility increases but betas remain unchanged, the expected return as per CAPM will",Increase,Decrease,Remain unchanged,Become zero,c,"CAPM depends on beta, not total volatility."
21,1,"ABC Ltd. plans to invest ` 16,00,000 in a new unit. The project is expected to have a useful life of 4 years, with no salvage value at the end of its life. The annual depreciation charge for the project is ` 4,00,000. Projected revenues and costs for the project, ignoring inflation, are provided as follows: Year Revenues ( ` ) Costs ( ` ) 1 12,00,000 6,00,000 2 14,00,000 8,00,000 3 16,00,000 8,00,000 4 16,00,000 8,00,000 ABC Ltd. is subject to a corporate tax rate of 60%, and the cost of capital for the project, including inflation premium, is 10%. Depreciation provides a tax benefit, and inflation rates for revenues and costs over the projectâ€™s lifespan are as follows: Year Revenue Inflation Cost Inflation 1 10% 12% 2 9% 10% 3 8% 9% 4 7% 8% From the information given above, choose the correct answer to the following questions:",1. Inflation adjustment of revenues and costs is required mainly because,Cost of capital includes inflation,Tax rate is high,Depreciation is constant,Project life is short,a,Cash flows and discount rate must be consistent.
21,2,"ABC Ltd. plans to invest ` 16,00,000 in a new unit. The project is expected to have a useful life of 4 years, with no salvage value at the end of its life. The annual depreciation charge for the project is ` 4,00,000. Projected revenues and costs for the project, ignoring inflation, are provided as follows: Year Revenues ( ` ) Costs ( ` ) 1 12,00,000 6,00,000 2 14,00,000 8,00,000 3 16,00,000 8,00,000 4 16,00,000 8,00,000 ABC Ltd. is subject to a corporate tax rate of 60%, and the cost of capital for the project, including inflation premium, is 10%. Depreciation provides a tax benefit, and inflation rates for revenues and costs over the projectâ€™s lifespan are as follows: Year Revenue Inflation Cost Inflation 1 10% 12% 2 9% 10% 3 8% 9% 4 7% 8% From the information given above, choose the correct answer to the following questions:","2. If inflation were ignored in cash flows but included in discount rate, the project NPV would be.",Overstated,Understated,Correct,Zero,b,Ignoring inflation understates future cash flows.
21,3,"ABC Ltd. plans to invest ` 16,00,000 in a new unit. The project is expected to have a useful life of 4 years, with no salvage value at the end of its life. The annual depreciation charge for the project is ` 4,00,000. Projected revenues and costs for the project, ignoring inflation, are provided as follows: Year Revenues ( ` ) Costs ( ` ) 1 12,00,000 6,00,000 2 14,00,000 8,00,000 3 16,00,000 8,00,000 4 16,00,000 8,00,000 ABC Ltd. is subject to a corporate tax rate of 60%, and the cost of capital for the project, including inflation premium, is 10%. Depreciation provides a tax benefit, and inflation rates for revenues and costs over the projectâ€™s lifespan are as follows: Year Revenue Inflation Cost Inflation 1 10% 12% 2 9% 10% 3 8% 9% 4 7% 8% From the information given above, choose the correct answer to the following questions:",3. Which of the following cash flows is not affected by inflation directly?,Revenue,Operating cost,Depreciation,Tax payment,c,Depreciation is based on historical cost.
22,1,"X and Y are two friends. Since Y has earned a lot of profit from trading in financial derivative market, X is also considering speculating on Gamma Corporationâ€™s shares which is currently trading at ` 700 per share through taking positions in options in stocks of same company. Accordingly, X took following contract positions in the options on Gama Corporationâ€™s stock: (i) Purchasing one contract of 2-month call option with a premium of ` 35 and an exercise price of ` 750. (ii) Purchasing one contract of 2-month put option with a premium of ` 25 and an exercise price of ` 600. After some time, trading in Option Market and understanding the nitty-gritties of same, X being CEO in an organization advised his team to implement the concept of Financial Options in the Capital Budgeting decisions called â€˜Real Optionâ€™. From the information given above, choose the correct answer to the following questions:","1. Assuming that the contract size of each option contract is 100 and the price of Gama Corporationâ€™s share after two months falls to ` 550, the net pay-off of X will be","` 1,000 loss","` 1,000 profit","` 3,000 profit","` 3,000 loss",a,"` 50 x 100 â€“ [ ` 35 x 100 + ` 25 x100] = - ` 1,000"
22,2,"X and Y are two friends. Since Y has earned a lot of profit from trading in financial derivative market, X is also considering speculating on Gamma Corporationâ€™s shares which is currently trading at ` 700 per share through taking positions in options in stocks of same company. Accordingly, X took following contract positions in the options on Gama Corporationâ€™s stock: (i) Purchasing one contract of 2-month call option with a premium of ` 35 and an exercise price of ` 750. (ii) Purchasing one contract of 2-month put option with a premium of ` 25 and an exercise price of ` 600. After some time, trading in Option Market and understanding the nitty-gritties of same, X being CEO in an organization advised his team to implement the concept of Financial Options in the Capital Budgeting decisions called â€˜Real Optionâ€™. From the information given above, choose the correct answer to the following questions:",2. The per share price of Gama Corporationâ€™s stock after 2 months at which X shall be at Break Even is..,` 540,` 600,` 625,` 785,a,` 600 â€“ [ ` 35 + ` 25] = ` 540
22,3,"X and Y are two friends. Since Y has earned a lot of profit from trading in financial derivative market, X is also considering speculating on Gamma Corporationâ€™s shares which is currently trading at ` 700 per share through taking positions in options in stocks of same company. Accordingly, X took following contract positions in the options on Gama Corporationâ€™s stock: (i) Purchasing one contract of 2-month call option with a premium of ` 35 and an exercise price of ` 750. (ii) Purchasing one contract of 2-month put option with a premium of ` 25 and an exercise price of ` 600. After some time, trading in Option Market and understanding the nitty-gritties of same, X being CEO in an organization advised his team to implement the concept of Financial Options in the Capital Budgeting decisions called â€˜Real Optionâ€™. From the information given above, choose the correct answer to the following questions:",3. Which of the following statement is false regarding Real Options?,Real Options methodology is an approach to capital budgeting that relies on Option Pricing theory to evaluate projects.,"Real options approach is intended to supplement, and not replace, capital budgeting analyses based on standard Discounted Cash Flow (DCF) methodologies.",Real options are different from financial options as their periods start from the end of 1st year and are higher than financial options.,Real options are normally traded in the market and are priced.,d,Refer difference between Financial and Real Options.
23,1,"The data given below relates to a convertible bond: Face value ` 450 Coupon rate 15% No. of shares per bond 25 Market price of share ` 20 Straight value of bond ` 400 Market price of convertible bond ` 550 From the information given above, choose the correct answer to the following questions:",1. The stock value of bond would be ,` 500,` 400,` 550,` 450,a,` 20 x 25 = ` 500
23,2,"The data given below relates to a convertible bond: Face value ` 450 Coupon rate 15% No. of shares per bond 25 Market price of share ` 20 Straight value of bond ` 400 Market price of convertible bond ` 550 From the information given above, choose the correct answer to the following questions:",2. The percentage of downside risk based on market price of convertible bond is,10%,27.27%,18.18%,11.11%,b,550- 400 Ã—100 550
23,3,"The data given below relates to a convertible bond: Face value ` 450 Coupon rate 15% No. of shares per bond 25 Market price of share ` 20 Straight value of bond ` 400 Market price of convertible bond ` 550 From the information given above, choose the correct answer to the following questions:",3. The conversion premium is .,10%,27.27%,18.18%,11.11%,a,550-500 Ã—100 500
23,4,"The data given below relates to a convertible bond: Face value ` 450 Coupon rate 15% No. of shares per bond 25 Market price of share ` 20 Straight value of bond ` 400 Market price of convertible bond ` 550 From the information given above, choose the correct answer to the following questions:",4. The conversion parity price of the stock is ..,` 25,` 20,` 22,` 24,c,550 25 = ` 25
24,1,"Mr. A is interested in investing ` 1,00,000 for which he is considering following three alternatives: (i) Invest ` 1,00,000 in Mutual Fund X (MFX) (ii) Invest ` 1,00,000 in Mutual Fund Y (MFY) (iii) Portfolio - Invest ` 60,000 in Mutual Fund X (MFX) and ` 40,000 in Mutual Fund Y (MFY) Average annual return earned by MFX and MFY is 12% and 11% respectively. Risk free rate of return is 8% and market rate of return is 10%. Covariance of returns of MFX, MFY and market portfolio Mix are as follow: MFX MFY Portfolio MFX 4.400 4.300 3.370 MFY 4.300 4.200 2.800 Portfolio 3.370 2.800 4.200 From the information given above, choose the correct answer to the following questions:",1. Standard Deviation of MFX is ,2.0736,2.0976,1.8358,2.0494,b,4.40 = 2.0976 2
24,2,"Mr. A is interested in investing ` 1,00,000 for which he is considering following three alternatives: (i) Invest ` 1,00,000 in Mutual Fund X (MFX) (ii) Invest ` 1,00,000 in Mutual Fund Y (MFY) (iii) Portfolio - Invest ` 60,000 in Mutual Fund X (MFX) and ` 40,000 in Mutual Fund Y (MFY) Average annual return earned by MFX and MFY is 12% and 11% respectively. Risk free rate of return is 8% and market rate of return is 10%. Covariance of returns of MFX, MFY and market portfolio Mix are as follow: MFX MFY Portfolio MFX 4.400 4.300 3.370 MFY 4.300 4.200 2.800 Portfolio 3.370 2.800 4.200 From the information given above, choose the correct answer to the following questions:",2. Portfolio return would be ..,11.00%,12.00%,11.50%,11.60%,d,12.00 x 0.60 + 11.00 x 40 = 11.60
24,3,"Mr. A is interested in investing ` 1,00,000 for which he is considering following three alternatives: (i) Invest ` 1,00,000 in Mutual Fund X (MFX) (ii) Invest ` 1,00,000 in Mutual Fund Y (MFY) (iii) Portfolio - Invest ` 60,000 in Mutual Fund X (MFX) and ` 40,000 in Mutual Fund Y (MFY) Average annual return earned by MFX and MFY is 12% and 11% respectively. Risk free rate of return is 8% and market rate of return is 10%. Covariance of returns of MFX, MFY and market portfolio Mix are as follow: MFX MFY Portfolio MFX 4.400 4.300 3.370 MFY 4.300 4.200 2.800 Portfolio 3.370 2.800 4.200 From the information given above, choose the correct answer to the following questions:","3. Based on Standard Deviation, the optimum investment for Mr. A would be .",Portfolio,All investment in MFX,All investment in MFY,Both MFY and mix are indifferent,b,Based on Coefficient of Variation
25,1,"P Ltd. is studying the possible acquisition of Q Ltd. by way of merger. The following data are available: Firm After-tax earnings No. of equity shares Market price per share Book Value Per share P Ltd. ` 10,00,000 2,00,000 ` 75 ` 210 Q Ltd. ` 3,00,000 50,000 ` 60 ` 105 The merger shall be gone through by exchange of equity shares and the exchange ratio is set according to different weights assigned to different basis as mentioned below :- EPS 50% Market Price 25% Book Value 25% From the information given above, choose the correct answer to the following questions:",1. The swap ratio based on given weights shall be........................................,0.825,0.925,0.952,0.752,b,6 : 5 x 0.50 = 0.60 4 : 5 x 0.25 = 0.20 1 : 2 x 0.25 = 0.125 0.925
25,2,"P Ltd. is studying the possible acquisition of Q Ltd. by way of merger. The following data are available: Firm After-tax earnings No. of equity shares Market price per share Book Value Per share P Ltd. ` 10,00,000 2,00,000 ` 75 ` 210 Q Ltd. ` 3,00,000 50,000 ` 60 ` 105 The merger shall be gone through by exchange of equity shares and the exchange ratio is set according to different weights assigned to different basis as mentioned below :- EPS 50% Market Price 25% Book Value 25% From the information given above, choose the correct answer to the following questions:",2. Based on swap ratio as per assigned weights the total number of shares issued by P Ltd to Q Ltd. shall be............,46250,41250,47600,37600,a,"0.925 x 50000 = 46,250"
25,3,"P Ltd. is studying the possible acquisition of Q Ltd. by way of merger. The following data are available: Firm After-tax earnings No. of equity shares Market price per share Book Value Per share P Ltd. ` 10,00,000 2,00,000 ` 75 ` 210 Q Ltd. ` 3,00,000 50,000 ` 60 ` 105 The merger shall be gone through by exchange of equity shares and the exchange ratio is set according to different weights assigned to different basis as mentioned below :- EPS 50% Market Price 25% Book Value 25% From the information given above, choose the correct answer to the following questions:",3. Post merger the EPS of the P Ltd. shall be.................,5.39,5.25,5.28,5.47,c,(1000000 + 300000) / (200000 + 46250) = 5.28
25,4,"P Ltd. is studying the possible acquisition of Q Ltd. by way of merger. The following data are available: Firm After-tax earnings No. of equity shares Market price per share Book Value Per share P Ltd. ` 10,00,000 2,00,000 ` 75 ` 210 Q Ltd. ` 3,00,000 50,000 ` 60 ` 105 The merger shall be gone through by exchange of equity shares and the exchange ratio is set according to different weights assigned to different basis as mentioned below :- EPS 50% Market Price 25% Book Value 25% From the information given above, choose the correct answer to the following questions:","4. In case Q Ltd. wants to be sure that its EPS is not diminished by the merger , the relevant exchange ratio to achieve the same objective should be....................",0.83,1.20,1.30,1.10,b,Ratio of EPS ANSWERS TO CASE SCENARIO 26
26,1,"Mr. Y has invested in the three mutual funds (MF) as per the following details: Particulars MF â€˜Xâ€™ MF â€˜Yâ€™ MF â€˜Zâ€™ Amount of Investment ( ` ) 4,00,000 8,00,000 4,00,000 Net Assets Value (NAV) at the time of purchase ( ` ) 10.30 10.10 10 Dividend Received up to 31.03.2023 ( ` ) 9,000 0 6,000 NAV as on 31.03.2023 ( ` ) 10.35 10 10.30 Effective Yield per annum as on 31.03.2023 (percent) 9.66 - 11.66 24.15 Assume 1 Year = 365 days From the information given above, choose the correct answer to the following questions:",1. Total NAV of MF â€˜Yâ€™ as on 31.03.2023 would be approximately ,` 401941.73,` 412000.00,` 792079.21,` 82500.00,c,800000 10.10 Ã—10= 792079.21
26,2,"Mr. Y has invested in the three mutual funds (MF) as per the following details: Particulars MF â€˜Xâ€™ MF â€˜Yâ€™ MF â€˜Zâ€™ Amount of Investment ( ` ) 4,00,000 8,00,000 4,00,000 Net Assets Value (NAV) at the time of purchase ( ` ) 10.30 10.10 10 Dividend Received up to 31.03.2023 ( ` ) 9,000 0 6,000 NAV as on 31.03.2023 ( ` ) 10.35 10 10.30 Effective Yield per annum as on 31.03.2023 (percent) 9.66 - 11.66 24.15 Assume 1 Year = 365 days From the information given above, choose the correct answer to the following questions:",2. Total Yield of MF â€˜Xâ€™ in terms of ` would be approximately ..,` 10941.75,"` 7,920.80","` 18,000.00",` 12450.45,a,400000 10.30 (10.35-10.30)+9000= 10941.75
26,3,"Mr. Y has invested in the three mutual funds (MF) as per the following details: Particulars MF â€˜Xâ€™ MF â€˜Yâ€™ MF â€˜Zâ€™ Amount of Investment ( ` ) 4,00,000 8,00,000 4,00,000 Net Assets Value (NAV) at the time of purchase ( ` ) 10.30 10.10 10 Dividend Received up to 31.03.2023 ( ` ) 9,000 0 6,000 NAV as on 31.03.2023 ( ` ) 10.35 10 10.30 Effective Yield per annum as on 31.03.2023 (percent) 9.66 - 11.66 24.15 Assume 1 Year = 365 days From the information given above, choose the correct answer to the following questions:",3. Number of days for which MF â€˜Xâ€™ is held would be approximately.,31 Days,68 Days,103 Days,85 Days,c,10941.75 400000 Ã— 365 D = 0.0966
26,4,"Mr. Y has invested in the three mutual funds (MF) as per the following details: Particulars MF â€˜Xâ€™ MF â€˜Yâ€™ MF â€˜Zâ€™ Amount of Investment ( ` ) 4,00,000 8,00,000 4,00,000 Net Assets Value (NAV) at the time of purchase ( ` ) 10.30 10.10 10 Dividend Received up to 31.03.2023 ( ` ) 9,000 0 6,000 NAV as on 31.03.2023 ( ` ) 10.35 10 10.30 Effective Yield per annum as on 31.03.2023 (percent) 9.66 - 11.66 24.15 Assume 1 Year = 365 days From the information given above, choose the correct answer to the following questions:",4. Number of days for which MF â€˜Yâ€™ is held would be.,31 Days,68 Days,103 Days,85 Days,a,800000 10.10 (10.00-10.10) 800000 Ã— 365 D =-11.66%
27,1,"ABC Ltd. is planning to expand its business and therefore raising fund by issuing a convertible bond of ` 10 crore. An investor â€œMr. Xâ€ is interested to invest in the bond of ABC Ltd. Mr. X has following data related to the convertible bond. The data given below relates to a convertible bond: Face value ` 250 Coupon rate 12% No. of shares per bond 20 Market price of share ` 12 Straight value of bond ` 235 Market price of convertible bond ` 265 Maturity 5 Years From the information given above, choose the correct answer to the following questions:",1. The percentage of downside risk of the bond is approximately..,10.42%,6.38%,2.13%,12.77%,d,265-235 Ã—100= 12.77% 235
